cd_ibge,ano,municipio,uf,populacao,receita_total_realizada,receita_corrente,receita_tributaria,transferencias_correntes,cota_parte_icms,fpm,despesa_empenhada_total,despesa_liquidada_total,despesa_paga_total,despesa_corrente,despesa_capital,investimentos,pessoal_encargos,juros_encargos_divida,amortizacao_divida,rp_nao_processados_inscritos,rp_processados_inscritos,receita_propria,despesa_funcao_saude,despesa_funcao_educacao,despesa_funcao_urbanismo,despesa_funcao_administracao,despesa_funcao_assistencia_social,despesa_funcao_saneamento,despesa_funcao_transporte,despesa_funcao_seguranca_publica,despesa_funcao_previdencia,resultado_orcamentario,servico_divida,total_restos_pagar_inscritos,diferenca_empenhado_pago,diferenca_liquidado_pago,receita_total_realizada_per_capita,receita_propria_per_capita,receita_tributaria_per_capita,despesa_empenhada_total_per_capita,investimentos_per_capita,fpm_per_capita,resultado_orcamentario_pct_receita,receita_propria_pct_receita_corrente,receita_tributaria_pct_receita_corrente,transferencias_correntes_pct_receita_corrente,dependencia_transferencias_intergovernamentais_pct,cota_parte_icms_pct_receita_corrente,fpm_pct_receita_corrente,fpm_pct_receita_total,despesa_corrente_pct_despesa_total,despesa_capital_pct_despesa_total,investimentos_pct_despesa_total,investimentos_pct_despesa_corrente,investimentos_pct_receita_corrente,pessoal_encargos_pct_receita_corrente,juros_encargos_pct_receita_corrente,amortizacao_divida_pct_receita_corrente,servico_divida_pct_receita_corrente,liquidado_empenhado_pct,pago_empenhado_pct,pago_liquidado_pct,rp_nao_processados_pct_empenhado,rp_processados_pct_empenhado,total_restos_pagar_pct_empenhado,despesa_funcao_saude_pct_despesa_total,despesa_funcao_saude_per_capita,despesa_funcao_saude_crescimento_nominal_pct,despesa_funcao_educacao_pct_despesa_total,despesa_funcao_educacao_per_capita,despesa_funcao_educacao_crescimento_nominal_pct,despesa_funcao_urbanismo_pct_despesa_total,despesa_funcao_urbanismo_per_capita,despesa_funcao_urbanismo_crescimento_nominal_pct,despesa_funcao_administracao_pct_despesa_total,despesa_funcao_administracao_per_capita,despesa_funcao_administracao_crescimento_nominal_pct,despesa_funcao_assistencia_social_pct_despesa_total,despesa_funcao_assistencia_social_per_capita,despesa_funcao_assistencia_social_crescimento_nominal_pct,despesa_funcao_saneamento_pct_despesa_total,despesa_funcao_saneamento_per_capita,despesa_funcao_saneamento_crescimento_nominal_pct,despesa_funcao_transporte_pct_despesa_total,despesa_funcao_transporte_per_capita,despesa_funcao_transporte_crescimento_nominal_pct,despesa_funcao_seguranca_publica_pct_despesa_total,despesa_funcao_seguranca_publica_per_capita,despesa_funcao_seguranca_publica_crescimento_nominal_pct,despesa_funcao_previdencia_pct_despesa_total,despesa_funcao_previdencia_per_capita,despesa_funcao_previdencia_crescimento_nominal_pct,saude_educacao_pct_despesa_total,urbanismo_saneamento_pct_despesa_total,administracao_pct_despesa_total,despesa_finalistica,despesa_meio,despesa_finalistica_pct_despesa_total,despesa_meio_pct_despesa_total,razao_gasto_administrativo_finalistico,receita_total_realizada_crescimento_nominal_pct,receita_corrente_crescimento_nominal_pct,despesa_empenhada_total_crescimento_nominal_pct,fonte_fpm,participacao_fpm_receita_corrente,participacao_fpm_receita_total,receita_total,receita_per_capita,despesa_total,despesa_per_capita,participacao_transferencias,investimento_total,investimento_per_capita,investimento_pct_despesa,investimento_pct_receita,administracao_pct_despesa,restos_a_pagar_total,restos_a_pagar_pct_despesa,subindice_arrecadacao,subindice_equilibrio,subindice_rigidez,subindice_investimento,subindice_execucao,indice_saude_fiscal_municipal
4200051,2013,Abdon Batista,SC,2656,18560494.84,17319860.81,4268966.65,12515373.66,2523269.77,4453954.73,14897450.88,14498351.59,14432869.3,11477733.91,3419716.97,3352976.47,5792684.33,61487.59,66740.5,574888.35,86583.64,4803797.15,3176999.81,3600173.07,1126895.66,2576132.98,892598.0,89850.0,2053450.4,,,3663043.959999999,128228.09,661471.99,464581.5800000001,65482.289999999106,6988.138117469879,1808.6585655120484,1607.2916603915664,5608.9800000000005,1262.4158396084338,1676.9407868975904,19.735702046616336,27.73577225993885,24.647811531690945,72.26024387432707,72.26024387432707,14.568649238469256,25.715880623176908,23.996961117659517,77.04495220325909,22.955047796740917,22.507048333358895,29.212878572474242,19.35914212465314,33.445328421204565,0.35501203314808855,0.38534085655853495,0.7403528897066235,97.32102295073987,96.88146929469855,99.54834665449026,3.858971273882797,0.5811976874261054,4.440168961308903,21.325794832894257,1196.1595670180723,,24.166369797085714,1355.4868486445782,,7.564352244402231,424.28300451807223,,17.292441510637822,969.9295858433735,,5.9916156608935225,336.06852409638554,,0.6031233176987659,33.82906626506024,,13.783904485006765,773.1364457831324,,,,,,,,45.49216462997997,8.167475562100996,17.292441510637822,10939966.94,2576132.98,73.43516033798126,17.292441510637822,23.547904615514316,,,,Tesouro Transparente,25.715880623176908,23.996961117659517,18560494.84,6988.138117469879,14897450.88,5608.9800000000005,72.26024387432707,3352976.47,1262.4158396084338,22.507048333358895,19.35914212465314,17.292441510637822,661471.99,4.440168961308903,,,,,,
4200051,2015,Abdon Batista,SC,2643,18921789.31,17381406.96,1138964.02,15529197.48,3330192.98,5041066.41,23855883.54,19556334.39,19236015.64,15624533.85,8231349.69,8014923.72,8147588.68,36766.56,216425.97,4299549.15,320318.75,1852209.48,3296560.69,3841164.07,2374200.44,2778414.5,902498.78,3359912.96,4440043.18,,,-4934094.23,253192.53,4619867.9,4619867.8999999985,320318.75,7159.208970866439,700.7981384790012,430.9360650775634,9026.062633371168,3032.5099205448355,1907.3274347332576,-26.076256051494955,10.656268990551268,6.552772296403328,89.34373100944872,89.34373100944872,19.159513310192928,29.002637252559904,26.641594657942,65.49551528369005,34.504484716309946,33.597262103334366,51.29704218343768,46.112053750567036,46.87531164047953,0.21152810059974567,1.2451579466384004,1.456686047238146,81.97698633634427,80.63426201652224,98.36207162542796,18.02301366365574,1.3427243198220276,19.365737983477768,13.818648487583957,1247.2798675747256,3.763326633626707,16.10153765027979,1453.3348732500945,6.6938726365174395,9.952263708946662,898.2975558077942,110.68502828380757,11.646663580249857,1051.235149451381,7.852138129919051,3.783128713244884,341.467567158532,1.1092092969063438,14.084210942622668,1271.249701097238,3639.469070673344,18.611941882409106,1679.9255315928867,116.22354160587469,,,,,,,29.92018613786375,24.036474651569332,11.646663580249857,18214380.119999997,2778414.5,76.35173138508706,11.646663580249857,15.253961329977999,1.9465777885477875,0.3553501421008409,60.13399696472097,Tesouro Transparente,29.002637252559904,26.641594657942,18921789.31,7159.208970866439,23855883.54,9026.062633371168,89.34373100944872,8014923.72,3032.5099205448355,33.597262103334366,46.112053750567036,11.646663580249857,4619867.9,19.365737983477768,,,,,,
4200051,2016,Abdon Batista,SC,2630,25919658.25,21442016.08,791493.31,20064669.26,6462425.2,5873586.98,20727412.25,19743657.9,19506956.01,15996260.44,4731151.81,4195512.78,8499461.86,27520.0,535639.03,983754.35,236701.89,1377346.8200000003,3453187.04,3540582.54,1926400.93,,867310.96,33743.26,4925194.87,,,5192246.0,563159.03,1220456.24,1220456.2399999984,236701.88999999687,9855.383365019012,523.7060152091256,300.9480266159696,7881.145342205323,1595.2520076045628,2233.3030342205325,20.032077390526553,6.423588224452074,3.6913194498453157,93.57641177554794,93.57641177554794,30.139074496953743,27.39288580927135,22.660742373021066,77.17442123051322,22.825578769486768,20.241372774355852,26.228084968589073,19.56678310633932,39.63928498275802,0.12834614010792217,2.4980814677198957,2.626427607827818,95.25384868050762,94.11187356492127,98.80112443601448,4.746151319492379,1.1419751155863656,5.888126435078744,16.660000767823778,1312.998874524715,4.751204807941822,17.08164288573939,1346.229102661597,-7.825271832244329,9.293977013459555,732.4718365019011,-18.86106591741681,,,,4.184366815978198,329.7760304182509,-3.898932694402102,0.16279533399061913,12.830136882129278,-98.99571029363808,23.761745125709073,1872.697669201521,10.926733599919647,,,,,,,33.741643653563166,9.456772347450174,,14746419.599999998,0.0,71.1445279427006,0.0,,36.98312472120007,23.36179763436135,-13.114044947253289,Tesouro Transparente,27.39288580927135,22.660742373021066,25919658.25,9855.383365019012,20727412.25,7881.145342205323,93.57641177554794,4195512.78,1595.2520076045628,20.241372774355852,19.56678310633932,,1220456.24,5.888126435078744,,,,,,
4200051,2017,Abdon Batista,SC,2617,23228892.56,22218993.26,823733.1,20651304.68,8610475.89,5683262.38,18399706.71,18128217.84,17854846.82,15465437.9,2934268.81,2395637.25,8136811.59,67873.8,538631.56,271488.87,273371.02,1567688.58,3103172.82,3731410.15,1861199.37,2812523.77,889453.96,24767.09,2984496.42,,,4829185.849999998,606505.3600000001,544859.89,544859.8900000006,273371.01999999955,8876.153060756591,599.040343905235,314.7623614826137,7030.839400076424,915.4135460450898,2171.6707604126864,20.789565570232238,7.055623815423939,3.7073376383930725,92.94437618457604,92.94437618457604,38.75277241071542,25.578397335541563,24.466350969251717,84.05263270633948,15.94736729366052,13.019975197202477,15.490264585395282,10.781934275630631,36.62097330327017,0.30547648674159594,2.4241942634263167,2.729670750167913,98.52449349177697,97.03875774441624,98.49201381838647,1.4755065082230323,1.4857357473607253,2.9612422555837576,16.865338501909193,1185.7748643484906,-10.135976300895654,20.279726241353764,1425.8349828047383,5.389723522728551,10.115375203173551,711.1957852502866,-3.384630841099101,15.28569892079546,1074.712942300344,,4.834065966478658,339.8754145968666,2.5530635517392763,0.13460589557408223,9.4639243408483,-26.60137165170171,16.220347786184902,1140.426602980512,-39.403485572135345,,,,,,,37.145064743262964,10.249981098747634,15.28569892079546,12594499.81,2812523.77,68.44945959467415,15.28569892079546,22.331365377185232,-10.381177344419656,3.623619985644577,-11.23008271329191,Tesouro Transparente,25.578397335541563,24.466350969251717,23228892.56,8876.153060756591,18399706.71,7030.839400076424,92.94437618457604,2395637.25,915.4135460450898,13.019975197202477,10.781934275630631,15.28569892079546,544859.89,2.9612422555837576,,,,,,
4200051,2018,Abdon Batista,SC,2617,23365643.67,22026167.4,1013600.62,20229347.87,7322035.24,6060503.359999999,21602747.05,19936813.32,19705533.52,16781549.62,4821197.43,4732036.89,8941392.66,80858.91,89160.54,1665933.73,231279.8,1796819.5300000003,3559140.5,4268272.68,1956001.14,2953022.12,926075.25,614233.2,2826317.3,15240.58,,1762896.620000001,170019.45,1897213.53,1897213.5300000012,231279.80000000075,8928.407974780284,686.5951585785251,387.31395491020254,8254.775334352313,1808.1913985479555,2315.820924722965,7.544823694557355,8.15765855842901,4.601802036608511,91.84234144157101,91.84234144157101,33.242438900196504,27.51501543568583,25.93766919325788,77.6824798307306,22.317520169269397,21.904792381485574,28.197854174089077,21.48370528592278,40.594409810941514,0.3671038566609641,0.40479370914070145,0.7718975658016656,92.28832459990313,91.21772094257798,98.83993597026868,7.711675400096859,1.0706036573251456,8.782279057422004,16.475407001536873,1360.0078333970196,14.693596085312466,19.75800887785704,1630.979243408483,14.387657974291557,9.054409309486406,747.4211463507833,5.093584896281134,13.669660220365355,1128.399740160489,4.9954546695262225,4.2868402238686585,353.86902942300344,4.117277750947346,2.843310614980329,234.70890332441726,2380.03782438712,13.083138424286645,1079.9836836071838,-5.30002713154537,0.07054926840889895,5.823683607183798,,,,,36.23341587939391,11.897719924466735,13.669660220365355,14165280.65,2953022.12,65.57166372042485,13.669660220365355,20.846901610805713,0.588711276901277,-0.8678424703748355,17.408105414306352,Tesouro Transparente,27.51501543568583,25.93766919325788,23365643.67,8928.407974780284,21602747.05,8254.775334352313,91.84234144157101,4732036.89,1808.1913985479555,21.904792381485574,21.48370528592278,13.669660220365355,1897213.53,8.782279057422004,,,,,,
4200051,2019,Abdon Batista,SC,2577,28171944.53,27086858.52,3730456.76,22417682.93,7312469.84,6574238.97,22996862.39,21527514.72,21137917.6,19459881.93,3536980.46,3488958.13,9950654.15,78413.69,48022.33,1469347.67,389597.12,4669175.59,4028543.09,4528632.94,906194.84,3062372.52,1243242.86,726616.85,2940625.5,28500.87,,5175082.140000001,126436.02,1858944.79,1858944.789999999,389597.1199999973,10932.070054326738,1811.8648001552192,1447.5967248738843,8923.889169577027,1353.8836360108653,2551.1210593713618,18.36963058935854,17.23778926431222,13.772201590839925,82.76221073568777,82.76221073568777,26.996374771923904,24.270953994704882,23.336120667847986,84.6197259434051,15.3802740565949,15.171452830526762,17.928978924693816,12.880630389175158,36.73609526425067,0.28948979056431384,0.17729014224570183,0.4667799328100157,93.61066024972635,91.91652861823295,98.19023642502474,6.3893397502736455,1.6941316314934038,8.083471381767051,17.517794478571037,1563.2685642219635,13.1886501811322,19.692394828475557,1757.3274893286768,6.099897535131249,3.9405151217239593,351.64720217306945,-53.67104745143452,13.316479735651452,1188.3478928987195,3.702999691719211,5.406141233164982,482.43805199844786,34.2485786117273,3.159634726152744,281.96230112533954,18.296576935274757,12.787072645521883,1141.104190919674,4.0444220470221115,0.12393373285737176,11.059708963911525,87.00646563319768,,,,37.2101893070466,7.100149847876704,13.316479735651452,14402356.95,3062372.52,62.627486766467534,13.316479735651452,21.262995568235795,20.569948458860488,22.975813395479783,6.453416950970592,Tesouro Transparente,24.270953994704882,23.336120667847986,28171944.53,10932.070054326738,22996862.39,8923.889169577027,82.76221073568777,3488958.13,1353.8836360108653,15.171452830526762,12.880630389175158,13.316479735651452,1858944.79,8.083471381767051,,,,,,
4200051,2020,Abdon Batista,SC,2563,27979267.53,24899496.21,3110365.74,21002822.53,6751904.58,6271904.21,28237147.98,25147261.38,24781961.82,17895014.04,10342133.94,10293720.67,9674535.23,82143.67,48413.27,3089886.6,365299.56,3892920.72,4484402.45,4085107.12,1924894.47,3201472.89,1122540.01,748644.5,4627754.66,26109.71,,-257880.44999999925,130556.94,3455186.16,3455186.16,365299.55999999866,10916.60847834569,1518.8922044479127,1213.5644713226689,11017.22511900117,4016.2780608661724,2447.0948927038626,-0.921684063828669,15.63453608525841,12.49168141301924,84.35039148127407,84.35039148127407,27.116631288661726,25.18887995605755,22.41625590546687,63.37401373777125,36.625986262228736,36.45453385480328,57.52284209998866,41.34108008926659,38.85434126219215,0.329900931758651,0.19443473711952663,0.5243356688781776,89.057370092091,87.76368575733193,98.54735847979642,10.942629907908993,1.29368433475908,12.236314242668072,15.88121595416167,1749.669313304721,11.315737471732001,14.467137838755626,1593.877143971908,-9.793812523034829,6.816887000639644,751.0317869683964,112.41507731383682,11.337805405374372,1249.1115450643777,4.542241973879779,3.975401519994443,437.97893484198204,-9.708710492815541,2.6512751944008475,292.0969566913773,3.0315358087278144,16.388888365346872,1805.6007257120561,57.373139150157,0.09246581849729711,10.187167381974248,-8.389778978676787,,,,30.348353792917298,9.468162195040492,11.337805405374372,17019452.92,3201472.89,60.2732716917964,11.337805405374372,18.810668621656255,-0.6839321999758341,-8.075363587788987,22.786958938705904,Tesouro Transparente,25.18887995605755,22.41625590546687,27979267.53,10916.60847834569,28237147.98,11017.22511900117,84.35039148127407,10293720.67,4016.2780608661724,36.45453385480328,41.34108008926659,11.337805405374372,3455186.16,12.236314242668072,,,,,,
4200051,2021,Abdon Batista,SC,2548,33417563.51,29192600.23,3168361.25,24985831.01,7624462.89,8352582.78,23375969.59,21746205.75,21409807.45,20750769.25,2625200.34,2412559.85,10598058.63,222809.36,212640.49,1629763.84,336398.3,4201587.02,5007272.12,5733137.73,801138.86,3297643.01,1037441.5,1600800.08,2632427.77,14721.97,,10041593.920000002,435449.85,1966162.1400000001,1966162.1400000006,336398.30000000075,13115.213308477238,1648.9744976452118,1243.4698783359497,9174.242382260596,946.8445251177394,3278.093712715856,30.048851158748054,14.392643981340884,10.853302635042455,85.58960425979156,85.58960425979156,26.117792967838,28.611986305407644,24.9945893796253,88.76966223842525,11.230337761574747,10.320683558007659,11.626363441923965,8.264285575769692,36.30392135849833,0.7632391710383792,0.7284054463277251,1.4916446173661042,93.02803747358914,91.5889600539132,98.45307129037901,6.971962526410867,1.439077419675921,8.411039946086788,21.4205964835874,1965.1774411302983,11.659740084211222,24.525775103902333,2250.054054160126,40.342408695515445,3.4271898622879755,314.418704866562,-58.38011524860374,14.106978524692714,1294.2084026687596,3.0039336050726284,4.4380683162926715,407.1591444270016,-7.580888809477715,6.848058532232202,628.2574882260596,113.82646636688042,11.261255965725269,1033.1349175824175,-43.116522732862414,0.06297907748090974,5.777853218210361,-43.614961636877624,,,,45.946371587489736,10.275248394520178,14.106978524692714,16826940.03,3297643.01,71.98392334150877,14.106978524692714,19.597401572245335,19.436877588625002,17.241730450256366,-17.215543132908138,Tesouro Transparente,28.611986305407644,24.9945893796253,33417563.51,13115.213308477238,23375969.59,9174.242382260596,85.58960425979156,2412559.85,946.8445251177394,10.320683558007659,8.264285575769692,14.106978524692714,1966162.1400000001,8.411039946086788,,,,,,
4200051,2022,Abdon Batista,SC,2534,39344845.22,34179691.65,2295729.63,29481995.06,7971688.22,10479524.6,36607752.72,32146568.4,31823488.4,27260953.46,9346799.26,8901576.05,13594664.53,515449.81,445223.21,4461184.32,323080.0,4685387.5600000005,6363568.56,7084660.26,2360105.93,3811951.05,1661563.73,4036831.34,3212029.59,43774.59,,2737092.5,960673.02,4784264.32,4784264.32,323080.0,15526.773962115232,1849.0085082872931,905.9706511444356,14446.626961325966,3512.8555840568274,4135.566140489344,6.956673700697811,13.708103654001222,6.716648159112343,86.25588364545706,86.25588364545706,23.32287927471692,30.66009110705362,26.635063733007108,74.4677054298022,25.532294570197806,24.316095331185906,32.65320878472311,26.043465052734028,39.774099395656776,1.5080586895815369,1.3025957476711176,2.8106544372526545,87.8135531724057,86.93100787531762,98.99497826337196,12.186446827594285,0.8825452970880973,13.068992124682383,17.383117201082317,2511.2740962904495,27.086533495607167,19.35289585839401,2795.8406708760854,23.57387165021063,6.447011232980159,931.3756629834255,194.5938647889331,10.4129610991319,1504.3216456195737,15.596231564192276,4.538830183619094,655.707865035517,60.15975165828627,11.027257998807855,1593.0668271507498,152.17585821210102,8.774178558754206,1267.5728453038673,22.017767271920242,0.11957737568546382,17.274897395422254,197.34193182026587,,,,36.73601305947633,17.474269231788014,10.4129610991319,24762534.0,3811951.05,67.64286840932311,10.4129610991319,15.394026516026186,17.737025346645318,17.08340942810218,56.6042109143589,Tesouro Transparente,30.66009110705362,26.635063733007108,39344845.22,15526.773962115232,36607752.72,14446.626961325966,86.25588364545706,8901576.05,3512.8555840568274,24.316095331185906,26.043465052734028,10.4129610991319,4784264.32,13.068992124682383,,,,,,
4200051,2023,Abdon Batista,SC,2534,37360629.58,35368321.47,2678448.44,30683209.42,8453197.76,10771928.540000001,33455634.15,32550836.15,32255085.42,30177853.58,3277780.57,2835841.88,15642548.67,483090.05,441938.69,904798.0,295750.73,4667516.649999999,6974982.6,6945198.8,1375169.8,4048257.94,1791628.81,1345123.6,3049361.79,36010.7,,3904995.4299999997,925028.74,1200548.73,1200548.7299999967,295750.7299999967,14743.737008681925,1841.9560576164165,1057.0041199684294,13202.696981057616,1119.1167640094711,4250.9583820047355,10.452167091130695,13.19688482802065,7.573015423623948,86.75336613309742,86.75336613309742,23.900477627048666,30.456431326934556,28.832299297671526,90.20260517166135,9.797394828338653,8.476425427434322,9.397096027662547,8.018027890878022,44.227568682523625,1.3658834514093778,1.2495325523855005,2.6154160037948784,97.29552877119801,96.41152003092431,99.09141894654526,2.7044712288019803,0.8840087402737216,3.5884799690757023,20.848454310348203,2752.558247829518,9.60803728655042,20.759429544395587,2740.804577742699,-1.9684989100662964,4.110428138454521,542.6873717442778,-41.732708582279606,12.100377239449218,1597.5761404893449,6.199106098175111,5.355237930828462,707.0358366219416,7.827871880665094,4.020619050199651,530.8301499605367,-66.67872678574676,9.114643519617758,1203.3787647987372,-5.064330680714557,0.1076371765620829,14.211010260457773,-17.736065603355733,,,,41.60788385474379,8.131047188654174,12.100377239449218,21517476.099999998,4048257.94,64.31644967040626,12.100377239449218,18.813814042066024,-5.043140032461924,3.47759082256085,-8.610521913512315,Tesouro Transparente,30.456431326934556,28.832299297671526,37360629.58,14743.737008681925,33455634.15,13202.696981057616,86.75336613309742,2835841.88,1119.1167640094711,8.476425427434322,8.018027890878022,12.100377239449218,1200548.73,3.5884799690757023,,,,,,
