ano,co_entidade,nome_escola,dependencia_administrativa,localizacao,bairro,endereco,cep,latitude,longitude,etapas_ofertadas_resumo,matriculas_total_educacao_basica,matriculas_educacao_infantil,matriculas_ensino_fundamental,matriculas_ensino_medio
2025,42076102,CE PROF MANOEL DOS ANJOS,Municipal,Urbana,CENTRO,BAYER FILHO,88200070,-27.24340237,-48.63962663,Educação infantil | Creche | Pré-escola | Ensino fundamental | Fundamental anos iniciais | Educação especial,981,649,332,0
2025,42081173,EEF ALEXANDRE TERNES FILHO,Municipal,Urbana,JOÁIA,MARECHAL FLORIANO,88203170,-27.25787644,-48.65769004,Ensino fundamental | Fundamental anos iniciais | Educação especial,478,0,478,0
2025,42081181,EEB DEPUTADO VALERIO GOMES,Estadual,Urbana,PRAÇA,CORONEL GALLOTTI,88200340,-27.24239201,-48.62321486,Ensino fundamental | Fundamental anos iniciais | Fundamental anos finais | Ensino médio | Educação especial,800,0,444,356
2025,42081190,EEB PROF OLIVIA BASTOS,Estadual,Rural,NOVA DESCOBERTA,TITICO JACOMOSSI,88204080,-27.26062,-48.71328,Ensino fundamental | Fundamental anos iniciais | Fundamental anos finais | Ensino médio | Educação especial,512,0,366,146
2025,42081211,EEF DEP WALTER VICENTE GOMES,Municipal,Urbana,PRAÇA,PADRE PARISE,88200454,-27.24191321,-48.62120503,Ensino fundamental | Fundamental anos iniciais | Fundamental anos finais | Educação especial,1026,0,1026,0
2025,42081220,EEF MONS AUGUSTO ZUCCO,Municipal,Rural,ITINGA,ESTR. GERAL DO ITINGA,88207899,,,Ensino fundamental | Fundamental anos iniciais | Educação especial,62,0,62,0
2025,42081238,EEF OSMARIO GIACOMOSSI,Municipal,Rural,NOVA DESCOBERTA,ESTR. GERAL DE NOVA DESCOBERTA,88207899,-27.26430548,-48.7322743,Ensino fundamental | Fundamental anos iniciais | Educação especial,131,0,131,0
2025,42081254,EEF JOAO CAETANO,Municipal,Urbana,AREIAS,13 DE MAIO,88201080,-27.21875667,-48.63641667,Ensino fundamental | Fundamental anos iniciais | Educação especial,333,0,333,0
2025,42081262,EEF JOSE FELLER,Municipal,Rural,AREA RURAL DE TIJUCAS,RURAL DE TIJUCAS,88207899,-27.19246,-48.77721,Educação infantil | Pré-escola | Ensino fundamental | Fundamental anos iniciais | Educação especial,79,30,49,0
2025,42081270,EEF MADRE SABINA,Municipal,Rural,TIMBE,ESTR. GERAL DO TIMBE,88207899,-27.3308286,-48.69498346,Educação infantil | Creche | Pré-escola | Ensino fundamental | Fundamental anos iniciais | Educação especial,151,55,96,0
2025,42081297,EEF PROFª ONDINA MARIA DIAS,Municipal,Urbana,XV DE NOVEMBRO,BAYER FILHO,88203108,-27.24830591,-48.64600101,Ensino fundamental | Fundamental anos iniciais | Fundamental anos finais | Educação especial,957,0,957,0
2025,42081335,EEF MARCILIO MARCOS DA SILVA,Municipal,Rural,MORRETES,ROD. BR 101,88207899,-27.290075,-48.63070167,Educação infantil | Pré-escola | Ensino fundamental | Fundamental anos iniciais | Educação especial,50,16,34,0
2025,42081351,CEI PONTAL DO SUL,Municipal,Urbana,SUL DO RIO,ELOI FRANCISCO DOS ANJOS,88205340,-27.24626555,-48.62166219,Educação infantil | Creche | Pré-escola | Educação especial,37,37,0,0
