ano,co_entidade,nome_escola,dependencia_administrativa,localizacao,bairro,endereco,cep,latitude,longitude,etapas_ofertadas_resumo
2025,42146526,CEI ENEIDE MANNRICH DOS SANTOS,Municipal,Urbana,CENTRO,RUA FLORIANOPOLIS,88200100,-27.2422359,-48.6343148,Educação infantil | Creche | Educação especial
2025,42151759,CEI PROFª MARIA HELENA MACHADO,Municipal,Urbana,CENTRO,CAIO JONAS PORTELLA,88200286,-27.23937579,-48.6274015,Educação infantil | Pré-escola | Educação especial
2025,42152933,UD PRESIDIO REGIONAL DE TIJUCAS,Estadual,Rural,ITINGA,RUA ALBERTO TOMAZI,88207899,,,EJA
2025,42154138,CEI ZILDA MARIA PEIXER,Municipal,Urbana,CENTRO,BEM-TE-VI,88200264,,,Educação infantil | Creche | Educação especial
2025,42156297,SESI SC - TIJUCAS,Privada,Urbana,CENTRO,JOSE MANOEL REIS,88200208,-27.23006667,-48.632325,Ensino médio | Educação especial
2025,42158818,DOM BOSCO PREMIUM,Privada,Urbana,XV DE NOVEMBRO,ALAMIR BOAVENTURA CABRAL FARIA,88203122,,,Educação infantil | Creche | Pré-escola | Ensino fundamental | Fundamental anos iniciais | Fundamental anos finais | Ensino médio | Educação especial
2025,42160707,CEI HERCILIO GIACOMOSSI,Municipal,Urbana,NOVA DESCOBERTA,TITICO GIACOMOSSI,88204080,,,Educação infantil | Creche | Pré-escola | Educação especial
2025,42162238,INTERFERENCIA TREINAMENTO,Privada,Urbana,CENTRO,MARECHAL DEODORO DA FONSECA,88200184,,,
2025,42163595,COLEGIO PREMIUM,Privada,Urbana,UNIVERSITARIO,JACARANDA,88201484,,,Educação infantil | Creche | Pré-escola | Ensino fundamental | Fundamental anos iniciais | Educação especial
2025,42164257,COOPERATIVA DE TRABALHO EDUCACIONAL DE PROFESSORES E ESPECIALISTAS - COOEPE,Privada,Urbana,XV DE NOVEMBRO,ALAMIR BOAVENTURA CABRAL FARIA,88203122,,,EJA
2025,42215218,CEI NAIR FERREIRA,Municipal,Urbana,PRAÇA,PORTO BELO,88200352,-27.24027558,-48.62156723,
2025,42356261,CEI PROF MARCO AURELIO DE OLIVEIRA,Municipal,Urbana,AREIAS,OSVALDO ARGINO CORDEIRO,88201032,-27.228394,-48.6360638,Educação infantil | Creche | Pré-escola | Educação especial
