dt_data_competencia,nm_adm_desl,cd_uf,nm_uf,cd_divisao,nm_grupo,nm_divisao,saldo_total
2023-08-01,Admitido,42,Santa Catarina,13,"Fabricação de artefatos têxteis, exceto vestuário",Fabricação de produtos têxteis,946.0
2023-08-01,Desligado,42,Santa Catarina,13,"Fabricação de artefatos têxteis, exceto vestuário",Fabricação de produtos têxteis,-1288.0
2023-08-01,Admitido,42,Santa Catarina,13,Fabricação de tecidos de malha,Fabricação de produtos têxteis,436.0
2023-08-01,Desligado,42,Santa Catarina,13,"Acabamentos em fios, tecidos e artefatos têxteis",Fabricação de produtos têxteis,-735.0
2023-08-01,Admitido,42,Santa Catarina,14,Confecção de artigos do vestuário e acessórios,Confecção de artigos do vestuário e acessórios,5478.0
2023-08-01,Desligado,42,Santa Catarina,14,Confecção de artigos do vestuário e acessórios,Confecção de artigos do vestuário e acessórios,-5548.0
2023-08-01,Desligado,42,Santa Catarina,14,Fabricação de artigos de malharia e tricotagem,Confecção de artigos do vestuário e acessórios,-114.0
2023-08-01,Admitido,42,Santa Catarina,14,Fabricação de artigos de malharia e tricotagem,Confecção de artigos do vestuário e acessórios,125.0
2023-08-01,Desligado,42,Santa Catarina,15,Curtimento e outras preparações de couro,"Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",-51.0
2023-08-01,Desligado,42,Santa Catarina,15,Fabricação de artigos para viagem e de artefatos diversos de couro,"Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",-48.0
2023-08-01,Admitido,42,Santa Catarina,15,Fabricação de artigos para viagem e de artefatos diversos de couro,"Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",36.0
2023-08-01,Admitido,42,Santa Catarina,15,"Fabricação de partes para calçados, de qualquer material","Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",91.0
2023-08-01,Admitido,42,Santa Catarina,15,Curtimento e outras preparações de couro,"Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",29.0
2023-08-01,Admitido,42,Santa Catarina,15,Fabricação de calçados,"Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",257.0
2023-08-01,Desligado,42,Santa Catarina,15,"Fabricação de partes para calçados, de qualquer material","Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",-67.0
2023-08-01,Desligado,42,Santa Catarina,15,Fabricação de calçados,"Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",-285.0
2023-08-01,Desligado,42,Santa Catarina,16,"Fabricação de produtos de madeira, cortiça e material trançado, exceto móveis",Fabricação de produtos de madeira,-1188.0
2023-08-01,Admitido,42,Santa Catarina,16,Desdobramento de madeira,Fabricação de produtos de madeira,825.0
2023-08-01,Admitido,42,Santa Catarina,16,"Fabricação de produtos de madeira, cortiça e material trançado, exceto móveis",Fabricação de produtos de madeira,1277.0
2023-08-01,Desligado,42,Santa Catarina,16,Desdobramento de madeira,Fabricação de produtos de madeira,-890.0
2023-08-01,Desligado,42,Santa Catarina,17,Fabricação de celulose e outras pastas para a fabricação de papel,"Fabricação de celulose, papel e produtos de papel",-2.0
2023-08-01,Admitido,42,Santa Catarina,17,"Fabricação de produtos diversos de papel, cartolina, papel-cartão e papelão ondulado","Fabricação de celulose, papel e produtos de papel",218.0
2023-08-01,Admitido,42,Santa Catarina,17,"Fabricação de papel, cartolina e papel-cartão","Fabricação de celulose, papel e produtos de papel",248.0
2023-08-01,Desligado,42,Santa Catarina,17,"Fabricação de produtos diversos de papel, cartolina, papel-cartão e papelão ondulado","Fabricação de celulose, papel e produtos de papel",-167.0
2023-08-01,Admitido,42,Santa Catarina,17,"Fabricação de embalagens de papel, cartolina, papel-cartão e papelão ondulado","Fabricação de celulose, papel e produtos de papel",373.0
2023-08-01,Desligado,42,Santa Catarina,17,"Fabricação de embalagens de papel, cartolina, papel-cartão e papelão ondulado","Fabricação de celulose, papel e produtos de papel",-326.0
2023-08-01,Desligado,42,Santa Catarina,17,"Fabricação de papel, cartolina e papel-cartão","Fabricação de celulose, papel e produtos de papel",-230.0
2023-08-01,Desligado,42,Santa Catarina,18,Atividade de impressão,Impressão e reprodução de gravações,-205.0
2023-08-01,Admitido,42,Santa Catarina,18,Serviços de pré-impressão e acabamentos gráficos,Impressão e reprodução de gravações,36.0
2023-08-01,Admitido,42,Santa Catarina,18,Atividade de impressão,Impressão e reprodução de gravações,251.0
2023-08-01,Desligado,42,Santa Catarina,18,Serviços de pré-impressão e acabamentos gráficos,Impressão e reprodução de gravações,-28.0
2023-08-01,Desligado,42,Santa Catarina,19,Coquerias,"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",-1.0
2023-08-01,Admitido,42,Santa Catarina,19,Fabricação de biocombustíveis,"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",3.0
2023-08-01,Admitido,42,Santa Catarina,19,Coquerias,"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",1.0
2023-08-01,Desligado,42,Santa Catarina,19,Fabricação de biocombustíveis,"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",-4.0
2023-08-01,Desligado,42,Santa Catarina,19,Fabricação de produtos derivados do petróleo,"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",-3.0
2023-08-01,Admitido,42,Santa Catarina,19,Fabricação de produtos derivados do petróleo,"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",4.0
2023-08-01,Desligado,42,Santa Catarina,2,Atividades de apoio à produção florestal,Produção florestal,-101.0
2023-08-01,Admitido,42,Santa Catarina,2,Atividades de apoio à produção florestal,Produção florestal,105.0
2023-08-01,Desligado,42,Santa Catarina,2,Produção florestal - florestas nativas,Produção florestal,-17.0
2023-08-01,Admitido,42,Santa Catarina,2,Produção florestal - florestas nativas,Produção florestal,8.0
2023-08-01,Admitido,42,Santa Catarina,2,Produção florestal - florestas plantadas,Produção florestal,282.0
2023-08-01,Desligado,42,Santa Catarina,2,Produção florestal - florestas plantadas,Produção florestal,-218.0
2023-08-01,Desligado,42,Santa Catarina,20,Fabricação de produtos químicos orgânicos,Fabricação de produtos químicos,-9.0
2023-08-01,Desligado,42,Santa Catarina,20,"Fabricação de sabões, detergentes, produtos de limpeza, cosméticos, produtos de perfumaria e de higiene pessoal",Fabricação de produtos químicos,-172.0
2023-08-01,Admitido,42,Santa Catarina,20,"Fabricação de sabões, detergentes, produtos de limpeza, cosméticos, produtos de perfumaria e de higiene pessoal",Fabricação de produtos químicos,228.0
2023-08-01,Desligado,42,Santa Catarina,20,Fabricação de fibras artificiais e sintéticas,Fabricação de produtos químicos,-12.0
2023-08-01,Desligado,42,Santa Catarina,20,Fabricação de produtos químicos inorgânicos,Fabricação de produtos químicos,-61.0
2023-08-01,Desligado,42,Santa Catarina,20,"Fabricação de tintas, vernizes, esmaltes, lacas e produtos afins",Fabricação de produtos químicos,-59.0
2023-08-01,Admitido,42,Santa Catarina,20,Fabricação de produtos químicos inorgânicos,Fabricação de produtos químicos,101.0
2023-08-01,Admitido,42,Santa Catarina,20,Fabricação de produtos e preparados químicos diversos,Fabricação de produtos químicos,160.0
2023-08-01,Admitido,42,Santa Catarina,20,Fabricação de defensivos agrícolas e desinfestantes domissanitários,Fabricação de produtos químicos,5.0
2023-08-01,Admitido,42,Santa Catarina,20,Fabricação de produtos químicos orgânicos,Fabricação de produtos químicos,4.0
