"Código","Unidade Territorial","UF","Referência","Número de famílias beneficiárias do Programa Bolsa Família (até outubro/2021)","Número de famílias beneficiárias do Programa Bolsa Família (a partir de março/2023)","Valor total repassado às famílias beneficiárias do Programa Bolsa Família (até outubro/2021)","Valor total repassado às famílias beneficiárias do Programa Bolsa Família (a partir de março/2023)","Valor médio do benefício do Programa Bolsa Família (até outubro/2021)","Valor médio do benefício do Programa Bolsa Família (a partir de março/2023)"
"420010","ABELARDO LUZ","SC","09/2011","1417","","178608","","126,05",""
"420010","ABELARDO LUZ","SC","12/2010","1282","","127165","","99,19",""
"420010","ABELARDO LUZ","SC","03/2010","1292","","119513","","92,50",""
"420010","ABELARDO LUZ","SC","12/2009","1220","","118740,00","","97,33",""
"420010","ABELARDO LUZ","SC","08/2004","271","","20160","","74,39",""
"420010","ABELARDO LUZ","SC","04/2004","271","","20280","","74,83",""
"420010","ABELARDO LUZ","SC","10/2008","966","","74177","","76,79",""
"420010","ABELARDO LUZ","SC","11/2007","1170","","89106","","76,16",""
"420010","ABELARDO LUZ","SC","12/2005","1080","","70694","","65,46",""
"420010","ABELARDO LUZ","SC","02/2005","617","","43534","","70,56",""
"420010","ABELARDO LUZ","SC","10/2005","846","","59528","","70,36",""
"420010","ABELARDO LUZ","SC","01/2011","1263","","122529","","97,01",""
"420010","ABELARDO LUZ","SC","08/2010","1316","","127178","","96,64",""
"420010","ABELARDO LUZ","SC","06/2004","271","","20235","","74,67",""
"420010","ABELARDO LUZ","SC","07/2009","1036","","93363","","90,12",""
"420010","ABELARDO LUZ","SC","01/2004","271","","20340","","75,06",""
"420010","ABELARDO LUZ","SC","10/2011","1410","","177772","","126,08",""
"420010","ABELARDO LUZ","SC","05/2006","1050","","67717,00","","64,49",""
"420010","ABELARDO LUZ","SC","05/2004","271","","20280","","74,83",""
"420010","ABELARDO LUZ","SC","08/2009","1042","","94055","","90,26",""
"420010","ABELARDO LUZ","SC","10/2004","331","","23695","","71,59",""
"420010","ABELARDO LUZ","SC","08/2006","1106","","71024,00","","64,22",""
"420010","ABELARDO LUZ","SC","05/2011","1377","","161218","","117,08",""
"420010","ABELARDO LUZ","SC","02/2010","1297","","119972,00","","92,50",""
"420010","ABELARDO LUZ","SC","04/2008","1072","","84738","","79,05",""
"420010","ABELARDO LUZ","SC","04/2006","1066","","69194,00","","64,91",""
"420010","ABELARDO LUZ","SC","02/2011","1364","","132382","","97,05",""
"420010","ABELARDO LUZ","SC","02/2009","1068","","92243","","86,37",""
"420010","ABELARDO LUZ","SC","05/2010","1293","","120917","","93,52",""
"420010","ABELARDO LUZ","SC","07/2006","1108","","71337,00","","64,38",""
"420010","ABELARDO LUZ","SC","06/2011","1385","","163176","","117,82",""
"420010","ABELARDO LUZ","SC","03/2007","1095","","72618","","66,32",""
"420010","ABELARDO LUZ","SC","12/2006","1064","","69713","","65,52",""
"420010","ABELARDO LUZ","SC","01/2005","617","","43534","","70,56",""
"420010","ABELARDO LUZ","SC","12/2008","1035","","89287","","86,27",""
"420010","ABELARDO LUZ","SC","04/2009","1064","","92477","","86,91",""
"420010","ABELARDO LUZ","SC","08/2011","1352","","164016","","121,31",""
"420010","ABELARDO LUZ","SC","08/2008","1081","","91665","","84,80",""
"420010","ABELARDO LUZ","SC","05/2009","1049","","91991","","87,69",""
"420010","ABELARDO LUZ","SC","06/2010","1317","","125155","","95,03",""
"420010","ABELARDO LUZ","SC","09/2005","846","","59544","","70,38",""
"420010","ABELARDO LUZ","SC","05/2008","1089","","86005,00","","78,98",""
"420010","ABELARDO LUZ","SC","02/2006","1063","","69054","","64,96",""
"420010","ABELARDO LUZ","SC","06/2009","1033","","93073","","90,10",""
"420010","ABELARDO LUZ","SC","03/2006","1065","","69179","","64,96",""
"420010","ABELARDO LUZ","SC","08/2005","846","","59544","","70,38",""
"420010","ABELARDO LUZ","SC","01/2006","1064","","69176","","65,02",""
"420010","ABELARDO LUZ","SC","07/2004","271","","20205","","74,56",""
"420010","ABELARDO LUZ","SC","06/2005","684","","48153","","70,40",""
"420010","ABELARDO LUZ","SC","03/2008","1067","","83906","","78,64",""
"420010","ABELARDO LUZ","SC","10/2010","1309","","132071","","100,89",""
"420010","ABELARDO LUZ","SC","12/2004","617","","44204","","71,64",""
"420010","ABELARDO LUZ","SC","01/2008","1155","","88804","","76,89",""
"420010","ABELARDO LUZ","SC","09/2006","1094","","70644,00","","64,57",""
"420010","ABELARDO LUZ","SC","11/2009","1229","","119165","","96,96",""
"420010","ABELARDO LUZ","SC","10/2006","1085","","70593","","65,06",""
"420010","ABELARDO LUZ","SC","02/2004","271","","20340","","75,06",""
"420010","ABELARDO LUZ","SC","04/2011","1379","","160466","","116,36",""
"420010","ABELARDO LUZ","SC","03/2004","271","","20340","","75,06",""
"420010","ABELARDO LUZ","SC","06/2006","1177","","76220","","64,76",""
"420010","ABELARDO LUZ","SC","02/2008","1151","","88530","","76,92",""
"420010","ABELARDO LUZ","SC","12/2011","1425","","178848,00","","125,51",""
"420010","ABELARDO LUZ","SC","11/2008","1006","","85845","","85,33",""
"420010","ABELARDO LUZ","SC","04/2005","621","","43804","","70,54",""
"420010","ABELARDO LUZ","SC","03/2011","1365","","132792","","97,28",""
"420010","ABELARDO LUZ","SC","07/2011","1406","","164736","","117,17",""
"420010","ABELARDO LUZ","SC","01/2009","1073","","90961","","84,77",""
"420010","ABELARDO LUZ","SC","06/2008","1089","","85733","","78,73",""
"420010","ABELARDO LUZ","SC","07/2005","805","","56804","","70,56",""
"420010","ABELARDO LUZ","SC","03/2005","617","","43534","","70,56",""
"420010","ABELARDO LUZ","SC","05/2005","682","","48069","","70,48",""
"420010","ABELARDO LUZ","SC","03/2009","1061","","91843","","86,56",""
"420010","ABELARDO LUZ","SC","11/2011","1407","","177326","","126,03",""
"420010","ABELARDO LUZ","SC","07/2008","1097","","92903","","84,69",""
"420010","ABELARDO LUZ","SC","11/2010","1298","","128048","","98,65",""
"420010","ABELARDO LUZ","SC","04/2015","1639","","263765","","160,93",""
"420010","ABELARDO LUZ","SC","06/2015","1619","","262975","","162,43",""
"420010","ABELARDO LUZ","SC","07/2015","1621","","261519","","161,33",""
"420010","ABELARDO LUZ","SC","09/2015","1566","","248144","","158,46",""
