anexo_padronizado,coluna,cod_conta,conta,linhas,municipios,anos,primeiro_ano,ultimo_ano
Anexo I-AB,31/12/2013,EmContratosALongoPrazo,49 - Em Contratos,184,184,1,2013,2013
Anexo I-AB,31/12/2013,EmContratosCirculacao,35 - Em Contratos,7,7,1,2013,2013
Anexo I-AB,31/12/2013,EmContratosCreditoInternas,31 - Em Contratos,173,173,1,2013,2013
Anexo I-AB,31/12/2013,EmContratosOperacoesDeCreditoExternasALongoPrazo,53 - Em Contratos,6,6,1,2013,2013
Anexo I-AB,31/12/2013,EmTitulosALongoPrazo,48 - Em Titulos,1,1,1,2013,2013
Anexo I-AB,31/12/2013,EmTitulosCreditoInternas,30 - Em Titulos,7,7,1,2013,2013
Anexo I-AB,31/12/2013,EmTitulosOperacoesDeCreditoExternasALongoPrazo,52 - Em Titulos,1,1,1,2013,2013
Anexo I-AB,31/12/2013,EmprestimosEFinanciamentosACurtoPrazo,35 - Empréstimos e Financiamentos - Curto Prazo,15,15,1,2013,2013
Anexo I-AB,31/12/2013,EmprestimosEFinanciamentosALongoPrazo,58 - Empréstimos e Financiamentos - Longo Prazo,25,25,1,2013,2013
Anexo I-AB,31/12/2013,EncargosSociaisARecolher,14 - Encargos Sociais a Recolher,97,97,1,2013,2013
Anexo I-AB,31/12/2013,Estoques,41 - Estoques,26,26,1,2013,2013
Anexo I-AB,31/12/2013,ExigivelALongoPrazo,44 - EXIGÍVEL A LONGO PRAZO = (45+46),238,238,1,2013,2013
Anexo I-AB,31/12/2013,FinanciamentosEOutrasALongoPrazo,50 - Financiamentos e Outras,20,20,1,2013,2013
Anexo I-AB,31/12/2013,FinanciamentosEOutrasCirculacao,36 - Financiamentos e Outras,2,2,1,2013,2013
Anexo I-AB,31/12/2013,FinanciamentosEOutrasCreditoInternas,32 - Financiamentos e Outras,14,14,1,2013,2013
Anexo I-AB,31/12/2013,FinanciamentosEOutrasOperacoesDeCreditoExternasALongoPrazo,54 - Financiamentos e Outras,4,4,1,2013,2013
Anexo I-AB,31/12/2013,FornecedoresDeExerciciosAnteriores,9 - Fornecedores - De Exercícios Anteriores,104,104,1,2013,2013
Anexo I-AB,31/12/2013,FornecedoresDoExercicio,8 - Fornecedores - Do Exercício,223,223,1,2013,2013
Anexo I-AB,31/12/2013,FornecimentosAReceber,31 - Fornecimentos a Receber,5,5,1,2013,2013
Anexo I-AB,31/12/2013,FundosDeAplicacaoFinanceira,9 - Fundos de Aplicação Financeira,111,111,1,2013,2013
Anexo I-AB,31/12/2013,GarantiasEValores,87 - Garantias de Valores,9,9,1,2013,2013
Anexo I-AB,31/12/2013,Imobilizado,68 - Imobilizado = (69+72+76-77),293,293,1,2013,2013
Anexo I-AB,31/12/2013,Intangivel,78 - Intangível (79-80),27,27,1,2013,2013
Anexo I-AB,31/12/2013,InvestimentosComATaxaDeAdministracaoDoRPPS,24 - Investimentos com a Taxa de Administração do RPPS,11,11,1,2013,2013
Anexo I-AB,31/12/2013,InvestimentosDosRPPrevidencia,20 - INVESTIMENTOS DOS REGIMES PRÓPRIOS DE PREVIDÊNCIA = (21+ ... +25-26),45,45,1,2013,2013
Anexo I-AB,31/12/2013,InvestimentosDosRPPrevidenciaOutros,48 - INVESTIMENTOS DOS REGIMES PRÓPRIOS DE PREVIDÊNCIA = (49),1,1,1,2013,2013
Anexo I-AB,31/12/2013,InvestimentosEmSegmentoDeImoveis,49 - Investimentos em Segmento de Imóveis,1,1,1,2013,2013
Anexo I-AB,31/12/2013,InvestimentosEmSegmentoDeRendaFixa,21 - Investimentos em Segmento de Renda Fixa,40,40,1,2013,2013
Anexo I-AB,31/12/2013,InvestimentosEmSegmentoDeRendaVariavel,22 - Investimentos em Segmento de Renda Variável,24,24,1,2013,2013
Anexo I-AB,31/12/2013,InvestimentosPermanente,63 - Investimentos = (64+65+66-67),63,63,1,2013,2013
Anexo I-AB,31/12/2013,MaquinasEEquipamentos,70 - Máquinas e Equipamentos,191,191,1,2013,2013
Anexo I-AB,31/12/2013,ObrigacoesAPagarALongoPrazo,56 - Obrigações a Pagar,114,114,1,2013,2013
