base,tabela,coluna,cd_conta,nm_conta,identificador_conta,conta
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.0.00.00.00,Despesas Correntes,siconfi-cor_DO3.0.00.00.00.00,3.0.00.00.00 - Despesas Correntes
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.00.00.00,Pessoal e Encargos Sociais,siconfi-cor_DO3.1.00.00.00.00,3.1.00.00.00 - Pessoal e Encargos Sociais
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.20.00.00,Transferências à União,siconfi-cor_DO3.1.20.00.00.00,3.1.20.00.00 - Transferências à União
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.22.00.00,Execução orçamentária delegada à União,siconfi-cor_DO3.1.22.00.00.00,3.1.22.00.00 - Execução orçamentária delegada à União
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.30.00.00,Transferências a Estados e ao Distrito Federal,siconfi-cor_DO3.1.30.00.00.00,3.1.30.00.00 - Transferências a Estados e ao Distrito Federal
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.32.00.00,Execução orçamentária delegada a Estados e ao Distrito Federal,siconfi-cor_DO3.1.32.00.00.00,3.1.32.00.00 - Execução orçamentária delegada a Estados e ao Distrito Federal
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.35.00.00,"Transferências fundo a fundo aos Estados e ao Distrito Federal à conta de recursos de que tratam os §§ 1º e 2º do art. 24 da Lei Complementar nº 141, de 2012 - Restos a Pagar Cancelados",siconfi-cor_DO3.1.35.00.00.00,"3.1.35.00.00 - Transferências fundo a fundo aos Estados e ao Distrito Federal à conta de recursos de que tratam os §§ 1º e 2º do art. 24 da Lei Complementar nº 141, de 2012 - Restos a Pagar Cancelados"
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.40.00.00,Transferências a Municípios,siconfi-cor_DO3.1.40.00.00.00,3.1.40.00.00 - Transferências a Municípios
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.41.00.00,Transferências a Municípios - fundo a fundo,siconfi-cor_DO3.1.41.00.00.00,3.1.41.00.00 - Transferências a Municípios - fundo a fundo
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.42.00.00,Execução orçamentária delegada a Municípios,siconfi-cor_DO3.1.42.00.00.00,3.1.42.00.00 - Execução orçamentária delegada a Municípios
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.50.00.00,Transferências a Instituições Privadas Sem Fins Lucrativos,siconfi-cor_DO3.1.50.00.00.00,3.1.50.00.00 - Transferências a Instituições Privadas Sem Fins Lucrativos
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.70.00.00,Transferência a instituições multigovernamentais,siconfi-cor_DO3.1.70.00.00.00,3.1.70.00.00 - Transferência a instituições multigovernamentais
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.71.00.00,Transferências a Consórcios Públicos mediante contrato de rateio,siconfi-cor_DO3.1.71.00.00.00,3.1.71.00.00 - Transferências a Consórcios Públicos mediante contrato de rateio
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.72.00.00,Execução orçamentária delegada a Consórcios Públicos,siconfi-cor_DO3.1.72.00.00.00,3.1.72.00.00 - Execução orçamentária delegada a Consórcios Públicos
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.73.00.00,"Transferências a Consórcios Públicos mediante contrato de rateio à conta de recursos de que tratam os §§ 1º e 2º do art. 24 da Lei Complementar Nº 141, de 2012",siconfi-cor_DO3.1.73.00.00.00,"3.1.73.00.00 - Transferências a Consórcios Públicos mediante contrato de rateio à conta de recursos de que tratam os §§ 1º e 2º do art. 24 da Lei Complementar Nº 141, de 2012"
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.74.00.00,"Transferências a Consórcios Públicos mediante contrato de rateio à conta de recursos de que trata o art. 25 da Lei Complementar Nº 141, de 2012",siconfi-cor_DO3.1.74.00.00.00,"3.1.74.00.00 - Transferências a Consórcios Públicos mediante contrato de rateio à conta de recursos de que trata o art. 25 da Lei Complementar Nº 141, de 2012"
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.80.00.00,Transferências ao Exterior,siconfi-cor_DO3.1.80.00.00.00,3.1.80.00.00 - Transferências ao Exterior
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.90.00.00,Aplicações Diretas,siconfi-cor_DO3.1.90.00.00.00,3.1.90.00.00 - Aplicações Diretas
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.90.01.00,"Aposentadorias do RPPS, Reserva Remunerada e Reformas dos Militares",siconfi-cor_DO3.1.90.01.00.00,"3.1.90.01.00 - Aposentadorias do RPPS, Reserva Remunerada e Reformas dos Militares"
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.90.03.00,Pensões do RPPS e do Militar,siconfi-cor_DO3.1.90.03.00.00,3.1.90.03.00 - Pensões do RPPS e do Militar
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.90.04.00,Contratação por Tempo Determinado,siconfi-cor_DO3.1.90.04.00.00,3.1.90.04.00 - Contratação por Tempo Determinado
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.90.07.00,Contribuição a Entidades Fechadas de Previdência,siconfi-cor_DO3.1.90.07.00.00,3.1.90.07.00 - Contribuição a Entidades Fechadas de Previdência
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.90.08.00,Outros Benefícios Assistenciais do Servidor e do Militar,siconfi-cor_DO3.1.90.08.00.00,3.1.90.08.00 - Outros Benefícios Assistenciais do Servidor e do Militar
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.90.11.00,Vencimentos e Vantagens Fixas - Pessoal Civil,siconfi-cor_DO3.1.90.11.00.00,3.1.90.11.00 - Vencimentos e Vantagens Fixas - Pessoal Civil
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.90.12.00,Vencimentos e Vantagens Fixas - Pessoal Militar,siconfi-cor_DO3.1.90.12.00.00,3.1.90.12.00 - Vencimentos e Vantagens Fixas - Pessoal Militar
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.90.13.00,Obrigações Patronais,siconfi-cor_DO3.1.90.13.00.00,3.1.90.13.00 - Obrigações Patronais
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.90.13.01,FGTS,siconfi-cor_DO3.1.90.13.01.00,3.1.90.13.01 - FGTS
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.90.13.02,Contribuições Previdenciárias - INSS,siconfi-cor_DO3.1.90.13.02.00,3.1.90.13.02 - Contribuições Previdenciárias - INSS
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.90.13.04,Contribuição de salário-educação,siconfi-cor_DO3.1.90.13.04.00,3.1.90.13.04 - Contribuição de salário-educação
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.90.13.07,Contrato por Tempo Determinado,siconfi-cor_DO3.1.90.13.07.00,3.1.90.13.07 - Contrato por Tempo Determinado
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.90.13.08,Contribuições Previdenciárias - RPPS - Pessoal Ativo,siconfi-cor_DO3.1.90.13.08.00,3.1.90.13.08 - Contribuições Previdenciárias - RPPS - Pessoal Ativo
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.90.13.09,Seguros de acidentes do trabalho,siconfi-cor_DO3.1.90.13.09.00,3.1.90.13.09 - Seguros de acidentes do trabalho
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.90.13.10,Contribuições previdenciárias - RPPS - pessoal inativo,siconfi-cor_DO3.1.90.13.10.00,3.1.90.13.10 - Contribuições previdenciárias - RPPS - pessoal inativo
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.90.13.11,FGTS - PDV,siconfi-cor_DO3.1.90.13.11.00,3.1.90.13.11 - FGTS - PDV
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.90.13.18,Contribuição para o PIS/PASEP s/ folha Pagto.,siconfi-cor_DO3.1.90.13.18.00,3.1.90.13.18 - Contribuição para o PIS/PASEP s/ folha Pagto.
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.90.13.40,Encargos de pessoal requisitado de outros Entes,siconfi-cor_DO3.1.90.13.40.00,3.1.90.13.40 - Encargos de pessoal requisitado de outros Entes
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.90.13.99,Outras Obrigações Patronais,siconfi-cor_DO3.1.90.13.99.00,3.1.90.13.99 - Outras Obrigações Patronais
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.90.16.00,Outras Despesas Variáveis - Pessoal Civil,siconfi-cor_DO3.1.90.16.00.00,3.1.90.16.00 - Outras Despesas Variáveis - Pessoal Civil
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.90.17.00,Outras Despesas Variáveis - Pessoal Militar,siconfi-cor_DO3.1.90.17.00.00,3.1.90.17.00 - Outras Despesas Variáveis - Pessoal Militar
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.90.67.00,Depósitos Compulsórios,siconfi-cor_DO3.1.90.67.00.00,3.1.90.67.00 - Depósitos Compulsórios
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.90.86.00,Compensações a Regimes de Previdência,siconfi-cor_DO3.1.90.86.00.00,3.1.90.86.00 - Compensações a Regimes de Previdência
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.90.91.00,Sentenças Judiciais,siconfi-cor_DO3.1.90.91.00.00,3.1.90.91.00 - Sentenças Judiciais
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.90.92.00,Despesas de Exercícios Anteriores,siconfi-cor_DO3.1.90.92.00.00,3.1.90.92.00 - Despesas de Exercícios Anteriores
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.90.94.00,Indenizações e Restituições Trabalhistas,siconfi-cor_DO3.1.90.94.00.00,3.1.90.94.00 - Indenizações e Restituições Trabalhistas
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.90.96.00,Ressarcimento de Despesas de Pessoal Requisitado,siconfi-cor_DO3.1.90.96.00.00,3.1.90.96.00 - Ressarcimento de Despesas de Pessoal Requisitado
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.90.99.00,A Classificar,siconfi-cor_DO3.1.90.99.00.00,3.1.90.99.00 - A Classificar
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.91.00.00,"Aplicação Direta Decorrente de Operação entre Órgãos, Fundos e Entidades Integrantes dos Orçamentos Fiscal e da Seguridade Social",siconfi-cor_DI3.1.91.00.00.00,"3.1.91.00.00 - Aplicação Direta Decorrente de Operação entre Órgãos, Fundos e Entidades Integrantes dos Orçamentos Fiscal e da Seguridade Social"
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.91.04.00,Contratação por Tempo Determinado,siconfi-cor_DI3.1.91.04.00.00,3.1.91.04.00 - Contratação por Tempo Determinado
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.91.08.00,Outros Benefícios Assistenciais do Servidor e do Militar,siconfi-cor_DI3.1.91.08.00.00,3.1.91.08.00 - Outros Benefícios Assistenciais do Servidor e do Militar
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.91.13.00,Contribuições Patronais,siconfi-cor_DI3.1.91.13.00.00,3.1.91.13.00 - Contribuições Patronais
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.91.13.02,Contribuições previdenciárias - INSS,siconfi-cor_DI3.1.91.13.02.00,3.1.91.13.02 - Contribuições previdenciárias - INSS
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.91.13.04,Contribuição de salário-educação,siconfi-cor_DI3.1.91.13.04.00,3.1.91.13.04 - Contribuição de salário-educação
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.91.13.08,Contribuições previdenciárias - RPPS - pessoal ativo - plano previdenciário,siconfi-cor_DI3.1.91.13.08.00,3.1.91.13.08 - Contribuições previdenciárias - RPPS - pessoal ativo - plano previdenciário
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.91.13.09,Seguros de acidentes do trabalho,siconfi-cor_DI3.1.91.13.09.00,3.1.91.13.09 - Seguros de acidentes do trabalho
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.91.13.10,Contribuições previdenciárias - RPPS - pessoal inativo e pensionista - plano previdenciário,siconfi-cor_DI3.1.91.13.10.00,3.1.91.13.10 - Contribuições previdenciárias - RPPS - pessoal inativo e pensionista - plano previdenciário
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.91.13.11,Contribuições previdenciárias - RPPS - pessoal ativo - plano financeiro,siconfi-cor_DI3.1.91.13.11.00,3.1.91.13.11 - Contribuições previdenciárias - RPPS - pessoal ativo - plano financeiro
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.91.13.12,Contribuições previdenciárias - RPPS - pessoal inativo e pensionista - plano financeiro,siconfi-cor_DI3.1.91.13.12.00,3.1.91.13.12 - Contribuições previdenciárias - RPPS - pessoal inativo e pensionista - plano financeiro
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.91.13.20,Alíquota suplementar de contribuição previdenciária - pessoal ativo - plano previdenciário,siconfi-cor_DI3.1.91.13.20.00,3.1.91.13.20 - Alíquota suplementar de contribuição previdenciária - pessoal ativo - plano previdenciário
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.91.13.21,Alíquota suplementar de contribuição previdenciária - pessoal inativo e pensionista - plano previdenciário,siconfi-cor_DI3.1.91.13.21.00,3.1.91.13.21 - Alíquota suplementar de contribuição previdenciária - pessoal inativo e pensionista - plano previdenciário
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.91.13.22,Alíquota suplementar de contribuição previdenciária - pessoal ativo - plano financeiro,siconfi-cor_DI3.1.91.13.22.00,3.1.91.13.22 - Alíquota suplementar de contribuição previdenciária - pessoal ativo - plano financeiro
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.91.13.23,Alíquota suplementar de contribuição previdenciária - pessoal inativo e pensionista - plano financeiro,siconfi-cor_DI3.1.91.13.23.00,3.1.91.13.23 - Alíquota suplementar de contribuição previdenciária - pessoal inativo e pensionista - plano financeiro
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.91.13.99,Outras Obrigações Patronais - Intraorçamentária,siconfi-cor_DI3.1.91.13.99.00,3.1.91.13.99 - Outras Obrigações Patronais - Intraorçamentária
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.91.86.00,Compensações a Regimes de Previdência,siconfi-cor_DI3.1.91.86.00.00,3.1.91.86.00 - Compensações a Regimes de Previdência
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.91.91.00,Sentenças Judiciais,siconfi-cor_DI3.1.91.91.00.00,3.1.91.91.00 - Sentenças Judiciais
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.91.92.00,Despesas de Exercícios Anteriores,siconfi-cor_DI3.1.91.92.00.00,3.1.91.92.00 - Despesas de Exercícios Anteriores
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.91.94.00,Indenizações e Restituições Trabalhistas,siconfi-cor_DI3.1.91.94.00.00,3.1.91.94.00 - Indenizações e Restituições Trabalhistas
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.91.96.00,Ressarcimento de Despesas de Pessoal Requisitado,siconfi-cor_DI3.1.91.96.00.00,3.1.91.96.00 - Ressarcimento de Despesas de Pessoal Requisitado
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.91.99.00,A Classificar,siconfi-cor_DI3.1.91.99.00.00,3.1.91.99.00 - A Classificar
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.93.00.00,"Aplicação direta decorrente de operação de Órgãos, fundos e entidades integrantes dos OFSS com Consórcio Público do qual o Ente participe",siconfi-cor_DO3.1.93.00.00.00,"3.1.93.00.00 - Aplicação direta decorrente de operação de Órgãos, fundos e entidades integrantes dos OFSS com Consórcio Público do qual o Ente participe"
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.95.00.00,"Aplicação Direta à conta de recursos de que tratam os §§ 1º e 2º do art. 24 da Lei Complementar Nº 141, de 2012",siconfi-cor_DO3.1.95.00.00.00,"3.1.95.00.00 - Aplicação Direta à conta de recursos de que tratam os §§ 1º e 2º do art. 24 da Lei Complementar Nº 141, de 2012"
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.96.00.00,"Aplicação Direta à conta de recursos de que trata o art. 25 da Lei Complementar Nº 141, de 2012",siconfi-cor_DO3.1.96.00.00.00,"3.1.96.00.00 - Aplicação Direta à conta de recursos de que trata o art. 25 da Lei Complementar Nº 141, de 2012"
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.99.00.00,A Definir,siconfi-cor_DO3.1.99.00.00.00,3.1.99.00.00 - A Definir
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.2.00.00.00,Juros e Encargos da Dívida,siconfi-cor_DO3.2.00.00.00.00,3.2.00.00.00 - Juros e Encargos da Dívida
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.2.50.00.00,Transferências a instituições privadas sem fins lucrativos,siconfi-cor_DO3.2.50.00.00.00,3.2.50.00.00 - Transferências a instituições privadas sem fins lucrativos
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.2.67.00.00,Execução de contrato de Parceria Público-Privada - PPP,siconfi-cor_DO3.2.67.00.00.00,3.2.67.00.00 - Execução de contrato de Parceria Público-Privada - PPP
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.2.71.00.00,Transferências a Consórcios Públicos mediante contrato de rateio,siconfi-cor_DO3.2.71.00.00.00,3.2.71.00.00 - Transferências a Consórcios Públicos mediante contrato de rateio
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.2.72.00.00,Execução orçamentária delegada a Consórcios Públicos,siconfi-cor_DO3.2.72.00.00.00,3.2.72.00.00 - Execução orçamentária delegada a Consórcios Públicos
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.2.73.00.00,"Transferências a Consórcios Públicos mediante contrato de rateio à conta de recursos de que tratam os §§ 1º e 2º do art. 24 da Lei Complementar nº 141, de 2012",siconfi-cor_DO3.2.73.00.00.00,"3.2.73.00.00 - Transferências a Consórcios Públicos mediante contrato de rateio à conta de recursos de que tratam os §§ 1º e 2º do art. 24 da Lei Complementar nº 141, de 2012"
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.2.90.00.00,Aplicações Diretas,siconfi-cor_DO3.2.90.00.00.00,3.2.90.00.00 - Aplicações Diretas
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.2.90.21.00,Juros sobre a Dívida por Contrato,siconfi-cor_DO3.2.90.21.00.00,3.2.90.21.00 - Juros sobre a Dívida por Contrato
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.2.90.22.00,Outros Encargos sobre a Dívida por Contrato,siconfi-cor_DO3.2.90.22.00.00,3.2.90.22.00 - Outros Encargos sobre a Dívida por Contrato
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.2.90.23.00,"Juros, Deságios e Descontos da Dívida Mobiliária",siconfi-cor_DO3.2.90.23.00.00,"3.2.90.23.00 - Juros, Deságios e Descontos da Dívida Mobiliária"
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.2.90.24.00,Outros Encargos sobre a Dívida Mobiliária,siconfi-cor_DO3.2.90.24.00.00,3.2.90.24.00 - Outros Encargos sobre a Dívida Mobiliária
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.2.90.25.00,Encargos sobre Operações de Crédito por Antecipação da Receita,siconfi-cor_DO3.2.90.25.00.00,3.2.90.25.00 - Encargos sobre Operações de Crédito por Antecipação da Receita
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.2.90.26.00,Obrigações Decorrentes de Política Monetária,siconfi-cor_DO3.2.90.26.00.00,3.2.90.26.00 - Obrigações Decorrentes de Política Monetária
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.2.90.91.00,Sentenças Judiciais,siconfi-cor_DO3.2.90.91.00.00,3.2.90.91.00 - Sentenças Judiciais
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.2.90.92.00,Despesas de Exercícios Anteriores,siconfi-cor_DO3.2.90.92.00.00,3.2.90.92.00 - Despesas de Exercícios Anteriores
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.2.90.93.00,Indenizações e Restituições,siconfi-cor_DO3.2.90.93.00.00,3.2.90.93.00 - Indenizações e Restituições
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.2.90.99.00,A Classificar,siconfi-cor_DO3.2.90.99.00.00,3.2.90.99.00 - A Classificar
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.2.91.00.00,"Aplicação direta decorrente de operação entre Órgãos, fundos e entidades integrantes dos OFSS",siconfi-cor_DI3.2.91.00.00.00,"3.2.91.00.00 - Aplicação direta decorrente de operação entre Órgãos, fundos e entidades integrantes dos OFSS"
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.2.95.00.00,"Aplicação Direta à conta de recursos de que tratam os §§ 1º e 2º do art. 24 da Lei Complementar Nº 141, de 2012",siconfi-cor_DO3.2.95.00.00.00,"3.2.95.00.00 - Aplicação Direta à conta de recursos de que tratam os §§ 1º e 2º do art. 24 da Lei Complementar Nº 141, de 2012"
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.2.96.00.00,"Aplicação Direta à conta de recursos de que trata o art. 25 da Lei Complementar Nº 141, de 2012",siconfi-cor_DO3.2.96.00.00.00,"3.2.96.00.00 - Aplicação Direta à conta de recursos de que trata o art. 25 da Lei Complementar Nº 141, de 2012"
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.2.99.00.00,A Definir,siconfi-cor_DO3.2.99.00.00.00,3.2.99.00.00 - A Definir
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.3.00.00.00,Outras Despesas Correntes,siconfi-cor_DO3.3.00.00.00.00,3.3.00.00.00 - Outras Despesas Correntes
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.3.20.00.00,Transferências à União,siconfi-cor_DO3.3.20.00.00.00,3.3.20.00.00 - Transferências à União
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.3.22.00.00,Execução Orçamentária Delegada à União,siconfi-cor_DO3.3.22.00.00.00,3.3.22.00.00 - Execução Orçamentária Delegada à União
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.3.30.00.00,Transferências a Estados e ao Distrito Federal,siconfi-cor_DO3.3.30.00.00.00,3.3.30.00.00 - Transferências a Estados e ao Distrito Federal
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.3.30.41.00,Contribuições,siconfi-cor_DO3.3.30.41.00.00,3.3.30.41.00 - Contribuições
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.3.30.81.00,Distribuição Constitucional ou Legal de Receitas,siconfi-cor_DO3.3.30.81.00.00,3.3.30.81.00 - Distribuição Constitucional ou Legal de Receitas
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.3.30.92.00,Despesas de exercícios anteriores,siconfi-cor_DO3.3.30.92.00.00,3.3.30.92.00 - Despesas de exercícios anteriores
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.3.30.93.00,Indenizações e restituições,siconfi-cor_DO3.3.30.93.00.00,3.3.30.93.00 - Indenizações e restituições
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.3.30.99.00,A Classificar,siconfi-cor_DO3.3.30.99.00.00,3.3.30.99.00 - A Classificar
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.3.31.00.00,Transferências a Estados e ao Distrito Federal - Fundo a Fundo,siconfi-cor_DO3.3.31.00.00.00,3.3.31.00.00 - Transferências a Estados e ao Distrito Federal - Fundo a Fundo
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.3.32.00.00,Execução Orçamentária Delegada a Estados e ao Distrito Federal,siconfi-cor_DO3.3.32.00.00.00,3.3.32.00.00 - Execução Orçamentária Delegada a Estados e ao Distrito Federal
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.3.35.00.00,"Transferências Fundo a Fundo aos Estados e ao Distrito Federal à conta de recursos de que tratam os §§ 1º e 2º do art. 24 da Lei Complementar Nº 141, de 2012",siconfi-cor_DO3.3.35.00.00.00,"3.3.35.00.00 - Transferências Fundo a Fundo aos Estados e ao Distrito Federal à conta de recursos de que tratam os §§ 1º e 2º do art. 24 da Lei Complementar Nº 141, de 2012"
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.3.40.00.00,Transferências a Municípios,siconfi-cor_DO3.3.40.00.00.00,3.3.40.00.00 - Transferências a Municípios
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.3.40.41.00,Contribuições,siconfi-cor_DO3.3.40.41.00.00,3.3.40.41.00 - Contribuições
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.3.40.91.00,Sentenças judiciais,siconfi-cor_DO3.3.40.91.00.00,3.3.40.91.00 - Sentenças judiciais
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.3.40.92.00,Despesas de exercícios anteriores,siconfi-cor_DO3.3.40.92.00.00,3.3.40.92.00 - Despesas de exercícios anteriores
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.3.40.93.00,Indenizações e restituições,siconfi-cor_DO3.3.40.93.00.00,3.3.40.93.00 - Indenizações e restituições
