ano,territorio,nivel_territorial,codigo_municipio,etapa_ensino,indicador_codigo,indicador_nome,valor,unidade,fonte,observacao_metodologica
2016,Tijucas,Município,4218004,Anos finais,taxa_aprovacao,Taxa de aprovação,88.40,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2016,Tijucas,Município,4218004,Ensino médio,taxa_aprovacao,Taxa de aprovação,79.60,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2016,Tijucas,Município,4218004,Ensino fundamental,taxa_reprovacao,Taxa de reprovação,6.50,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2016,Tijucas,Município,4218004,Anos iniciais,taxa_reprovacao,Taxa de reprovação,3.80,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2016,Tijucas,Município,4218004,Anos finais,taxa_reprovacao,Taxa de reprovação,9.60,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2016,Tijucas,Município,4218004,Ensino médio,taxa_reprovacao,Taxa de reprovação,13.20,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2016,Tijucas,Município,4218004,Ensino fundamental,taxa_abandono,Taxa de abandono,1.20,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2016,Tijucas,Município,4218004,Anos iniciais,taxa_abandono,Taxa de abandono,0.70,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2016,Tijucas,Município,4218004,Anos finais,taxa_abandono,Taxa de abandono,2.00,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2016,Tijucas,Município,4218004,Ensino médio,taxa_abandono,Taxa de abandono,7.20,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2017,Tijucas,Município,4218004,Ensino fundamental,taxa_aprovacao,Taxa de aprovação,91.00,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2017,Tijucas,Município,4218004,Anos iniciais,taxa_aprovacao,Taxa de aprovação,95.70,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2017,Tijucas,Município,4218004,Anos finais,taxa_aprovacao,Taxa de aprovação,85.60,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2017,Tijucas,Município,4218004,Ensino médio,taxa_aprovacao,Taxa de aprovação,80.80,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2017,Tijucas,Município,4218004,Ensino fundamental,taxa_reprovacao,Taxa de reprovação,7.70,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2017,Tijucas,Município,4218004,Anos iniciais,taxa_reprovacao,Taxa de reprovação,3.90,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2017,Tijucas,Município,4218004,Anos finais,taxa_reprovacao,Taxa de reprovação,12.10,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2017,Tijucas,Município,4218004,Ensino médio,taxa_reprovacao,Taxa de reprovação,9.40,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2017,Tijucas,Município,4218004,Ensino fundamental,taxa_abandono,Taxa de abandono,1.30,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2017,Tijucas,Município,4218004,Anos iniciais,taxa_abandono,Taxa de abandono,0.40,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2017,Tijucas,Município,4218004,Anos finais,taxa_abandono,Taxa de abandono,2.30,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2017,Tijucas,Município,4218004,Ensino médio,taxa_abandono,Taxa de abandono,9.80,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2018,Tijucas,Município,4218004,Ensino fundamental,taxa_aprovacao,Taxa de aprovação,90.30,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2018,Tijucas,Município,4218004,Anos iniciais,taxa_aprovacao,Taxa de aprovação,95.30,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2018,Tijucas,Município,4218004,Anos finais,taxa_aprovacao,Taxa de aprovação,84.70,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2018,Tijucas,Município,4218004,Ensino médio,taxa_aprovacao,Taxa de aprovação,79.50,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2018,Tijucas,Município,4218004,Ensino fundamental,taxa_reprovacao,Taxa de reprovação,9.20,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2018,Tijucas,Município,4218004,Anos iniciais,taxa_reprovacao,Taxa de reprovação,4.60,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2018,Tijucas,Município,4218004,Anos finais,taxa_reprovacao,Taxa de reprovação,14.30,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2018,Tijucas,Município,4218004,Ensino médio,taxa_reprovacao,Taxa de reprovação,13.20,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
